Designator,Mid X,Mid Y,Rotation,Layer
BNC2,104.0375,-111.2,90.0,top
C1,77.4375,-156.6,180.0,top
C14,60.5,-132.6,0.0,top
C17,60.3,-136.0,0.0,top
C2,55.4375,-132.8,180.0,top
C3,98.8625,-111.1,180.0,top
C33,73.2,-139.6625,270.0,top
C34,75.7,-139.6625,270.0,top
C35,81.6,-134.5,270.0,top
C4,53.9375,-142.0,180.0,top
C5,64.6,-141.8,0.0,top
C6,54.0375,-144.5,180.0,top
Cg200,55.5,-120.7,180.0,top
Cg201,74.3375,-120.4,180.0,top
Cg300,64.44375,-165.2,0.0,top
Cg301,77.64375,-163.83,0.0,top
CinBottom1,48.3,-159.5,0.0,top
CinTop1,48.6,-124.4,0.0,top
L1,76.25,-149.1,0.0,top
Q200,61.16,-104.93,0.0,top
Q201,75.66,-105.13,0.0,top
Q300,59.09,-179.47,180.0,top
Q301,72.49,-179.47,180.0,top
R200,60.0,-110.85,270.0,top
R201,74.4,-110.75,270.0,top
R300,59.9,-173.95,90.0,top
R301,74.8,-173.95,90.0,top
RF_in_bottom1,42.6625,-159.6,270.0,top
RF_in_top1,42.8625,-124.3,270.0,top
Rg200,55.475,-116.2,180.0,top
Rg201,74.15,-116.1,180.0,top
Rg300,64.34375,-169.3,0.0,top
Rg301,77.74375,-168.5,0.0,top
U13,69.2575,-134.3,0.0,top
U200,60.275,-117.7,90.0,top
U201,78.75,-117.85,90.0,top
U300,59.34375,-167.2,270.0,top
U301,72.94375,-167.3,270.0,top
